"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 17 12:34:07 EET 2021","Wed Nov 17 12:34:10 EET 2021","3253","Surefire suite","Surefire test","AddTwoProdToWishlistTest","AddTwoProdToWishlistTest","loginUserWithInWishListPage","loginUserWithInWishListPage",""
"passed","Wed Nov 17 12:32:57 EET 2021","Wed Nov 17 12:33:04 EET 2021","7145","Surefire suite","Surefire test","AddFourProdToWishlistTest","AddFourProdToWishlistTest","searchElementAndAddToWishlist","searchElementAndAddToWishlist",""
"passed","Wed Nov 17 12:32:52 EET 2021","Wed Nov 17 12:32:57 EET 2021","4521","Surefire suite","Surefire test","AddFourProdToWishlistTest","AddFourProdToWishlistTest","loginUserWithInWishListPage","loginUserWithInWishListPage",""
"passed","Wed Nov 17 12:33:16 EET 2021","Wed Nov 17 12:33:27 EET 2021","11865","Surefire suite","Surefire test","AddOneComplexElementTest","AddOneComplexElementTest","addOneComplexElementTest","addOneComplexElementTest",""
"passed","Wed Nov 17 12:33:53 EET 2021","Wed Nov 17 12:33:55 EET 2021","1984","Surefire suite","Surefire test","AddOneProdToWishlistTest","AddOneProdToWishlistTest","searchElementAndAddToWishlist","searchElementAndAddToWishlist",""
"passed","Wed Nov 17 12:33:08 EET 2021","Wed Nov 17 12:33:13 EET 2021","4931","Surefire suite","Surefire test","SearchAdd2ProductTest","SearchAdd2ProductTest","searchElementAndAddToCard","searchElementAndAddToCard",""
"passed","Wed Nov 17 12:33:30 EET 2021","Wed Nov 17 12:33:47 EET 2021","16217","Surefire suite","Surefire test","SearchAdd4ProductTest","SearchAdd4ProductTest","searchElementAndAddToCard","searchElementAndAddToCard",""
"passed","Wed Nov 17 12:34:10 EET 2021","Wed Nov 17 12:34:13 EET 2021","3445","Surefire suite","Surefire test","AddTwoProdToWishlistTest","AddTwoProdToWishlistTest","searchElementAndAddToWishlist","searchElementAndAddToWishlist",""
"passed","Wed Nov 17 12:33:58 EET 2021","Wed Nov 17 12:34:04 EET 2021","6466","Surefire suite","Surefire test","UserRegisterTest","UserRegisterTest","registerUserWithValidParameters","registerUserWithValidParameters",""
"passed","Wed Nov 17 12:33:49 EET 2021","Wed Nov 17 12:33:53 EET 2021","3376","Surefire suite","Surefire test","AddOneProdToWishlistTest","AddOneProdToWishlistTest","loginUserWithInWishListPage","loginUserWithInWishListPage",""
